site,site_id,BD,clay_pct,DUL,KS,LL,om_pct,PAW,pH
gentry,gent,1.4733333333333334,35,0.30516666666666664,412.7158333333333,0.162,1.9085,14.316666666666666,6.5521666666666665
gold,gold,1.4733333333333334,39,0.35083333333333333,40.56666666666666,0.24033333333333332,1.6166666666666667,11.05,7.6499999999999995
hofmann,hofm,1.4093333333333333,15.833333333333334,0.29033333333333333,236.82733333333334,0.14333333333333334,1.1521666666666668,14.7,7.066666666666666
huggins,hugg,1.4985,22.599999999999998,0.23916666666666667,172.61666666666667,0.14683333333333332,1.7166666666666668,9.233333333333334,6.75
kladivko,klad,1.4983333333333333,13.899999999999999,0.2813333333333333,239.18183333333334,0.09483333333333333,0.965,18.65,5.283333333333333
lawlor,lawl,1.2916666666666667,33.5,0.35216666666666663,126.129,0.2105,2.33,14.166666666666668,7.886666666666667
masarik,masa,1.381,24.916666666666668,0.35183333333333333,203,0.1595,1.225,19.233333333333334,6.416666666666667
randall,rand,1.4985,22.599999999999998,0.23916666666666667,172.61666666666667,0.14683333333333332,1.7166666666666668,9.233333333333334,6.75
randall.iragavarapu,rair,1.1333333333333333,31.96666666666667,0.3606666666666667,196.66666666666666,0.20416666666666666,2.8633333333333333,15.65,7.605
sutherland,suth,1.2833333333333334,30,0.2672222221666667,176.77777778333333,0.1495555555,1.9561111111666667,11.766666666666667,4.203333333333333
